Graph,CPU,FPGA,Config_1,Config_2,Config_3,Config_4,FPGA_OPT1,FPGA_OPT2,Fastest
ca-coauthors-dblp,161.96,3190.33,141.091,66.8269,95.5677,149.704,884.498,109.221,FPGA_RESULTS_C2
road-roadNet-CA,89.3786,620.297,57.4751,39.7183,68.6052,77.2662,245.928,93.2448,FPGA_RESULTS_C2
socfb-Duke14,8.05068,100.013,5.82057,5.0397,5.34823,6.04515,21.4056,3.00447,FPGA_RESULTS_COPT_2
ca-hollywood-2009,549.646,13191,464.196,185.157,313.067,469.087,3324.89,367.057,FPGA_RESULTS_C2
eco-foodweb-baydry,0.513792,1.07002,1.6531,1.69659,0.985858,1.78503,1.07675,1.03716,CPU_RESULTS
road-road-usa,894.408,7349.39,604.78,320.752,603.647,795.189,2754.81,1117.7,FPGA_RESULTS_C2
socfb-Georgetown15,13.834,84.1758,4.8827,3.94702,3.80014,6.04937,18.0615,2.99265,FPGA_RESULTS_COPT_2
cit-DBLP,1.99413,11.0884,2.55218,2.15619,2.22327,2.91401,3.99102,1.88229,FPGA_RESULTS_COPT_2
email-enron-large,4.59242,40.4799,10.4957,10.0814,9.32288,11.107,13.5368,3.57399,FPGA_RESULTS_COPT_2
rt-retweet-crawl,78.2561,1166.89,58.9405,40.8466,65.9142,68.6073,238.482,83.8255,FPGA_RESULTS_C2
socfb-uci-uni,3642.09,34517.9,2301.97,1371.47,2186.05,2632.15,9356.33,3553.51,FPGA_RESULTS_C2
road-asia-osm,421.453,3071.98,316.012,165.457,333.783,377.929,1275.47,557.875,FPGA_RESULTS_C2
socfb-A-anon,497.731,10770.6,394.53,182.41,262.503,409.201,2232.73,534.204,FPGA_RESULTS_C2
web-BerkStan,104.414,1571.85,92.8287,55.9053,86.3389,88.5649,441.308,73.9867,FPGA_RESULTS_C2
web-Stanford,53.8135,1130,46.0988,28.1493,30.6652,43.5935,221.661,50.5108,FPGA_RESULTS_C2
web-NotreDame,28.3372,33.3071,22.7826,14.2368,24.924,22.7926,16.3728,20.2272,FPGA_RESULTS_C2
web-wikipedia2009,145.236,2098.99,104.741,67.8338,100.362,128.443,456.174,149.133,FPGA_RESULTS_C2
web-italycnr-2000,42.583,72.268,39.8433,20.5597,31.9874,35.1153,26.3541,27.6797,FPGA_RESULTS_C2
web-it-2004,86.705,1406.49,70.0435,39.2256,61.7433,76.1737,337.124,43.4656,FPGA_RESULTS_C2
web-google,1.2486,2.66194,1.7327,1.64089,1.52704,2.60678,1.23129,1.30252,FPGA_RESULTS_COPT_1
cit-patent,419.248,7635.14,526.274,419.32,510.927,559.532,1589.29,382.379,FPGA_RESULTS_COPT_2
